id,reference,species,group,guild,biome,distance,human_dens,body_mass,treatment_n,control_n,treatment_mean,control_mean,treatment_sd,control_sd,rr,var
1389,"Rovero et al. ,2012",Cercocebus sanjei,Mammals,Frug,Montane forest,3.75,16.97,8,134,180,0.155,0.058,0.223,0.125,0.983,0.041
1390,"Rovero et al. ,2012",Cercopithecus mitis,Mammals,Frug,Montane forest,3.75,16.97,5,134,180,0.56,0.301,0.365,0.257,0.621,0.007
1391,"Rovero et al. ,2012",Colobus angolensis,Mammals,Herb,Montane forest,3.75,16.97,9.85,134,180,0.05,0.401,0.127,0.292,-2.08,0.051
1392,"Rovero et al. ,2012",Papio cynocephalus,Mammals,Herb,Montane forest,3.75,16.97,15.82,134,180,0.023,0.065,0.086,0.117,-1.038,0.122
1393,"Rovero et al. ,2012",Procolobus gordonorum,Mammals,Herb,Montane forest,3.75,16.97,8.59,134,180,0.114,0.463,0.208,0.258,-1.4,0.027
1394,"Schmid and Rasoloarison, 2002",Avahi occidentalis,Mammals,Herb,Xerophytic forest,3.51,16.6,0.8,3,2,1.933,0.3,1.686,0.52,1.863,1.753
1395,"Schmid and Rasoloarison, 2002",Cheirogaleus medius,Mammals,Omn,Xerophytic forest,3.51,16.6,0.18,3,2,2.267,1.133,2.411,1.266,0.693,1.001
1396,"Schmid and Rasoloarison, 2002",Eulemur fulvus,Mammals,Herb,Xerophytic forest,3.51,16.6,3.15,3,2,0.333,0.5,0.306,0.458,-0.405,0.7
1397,"Schmid and Rasoloarison, 2002",Lepilemur edwardsi,Mammals,Herb,Xerophytic forest,3.51,16.6,0.7,3,2,0.967,2.4,0.851,2.722,-0.909,0.901
1398,"Schmid and Rasoloarison, 2002",Microcebus murinus,Mammals,Omn,Xerophytic forest,3.51,16.6,0.07,3,2,4,2.967,2.081,1.68,0.299,0.251
1399,"Schmid and Rasoloarison, 2002",Avahi occidentalis,Mammals,Herb,Xerophytic forest,3.51,39.4,0.8,3,2,0.45,0.3,0.212,0.52,0.406,1.574
1400,"Schmid and Rasoloarison, 2002",Cheirogaleus medius,Mammals,Omn,Xerophytic forest,3.51,39.4,0.18,3,2,0.65,1.133,0.071,1.266,-0.555,0.628
1401,"Schmid and Rasoloarison, 2002",Eulemur fulvus,Mammals,Herb,Xerophytic forest,3.51,39.4,3.15,3,2,0.85,0.5,0.071,0.458,0.531,0.422
1402,"Schmid and Rasoloarison, 2002",Lepilemur edwardsi,Mammals,Herb,Xerophytic forest,3.51,39.4,0.7,3,2,1.45,2.4,0.354,2.722,-0.503,0.663
1403,"Schmid and Rasoloarison, 2002",Microcebus murinus,Mammals,Omn,Xerophytic forest,3.51,39.4,0.07,3,2,1.15,2.967,1.202,1.68,-0.947,0.525
1404,"Stokes et al., 2010",Gorilla gorilla,Mammals,Herb,Tropical forest,0.25,0.85,131.63,18,14,12,10.286,18.614,13.792,0.154,0.262
1405,"Stokes et al., 2010",Gorilla gorilla,Mammals,Herb,Tropical forest,0.75,0.85,131.63,12,14,9,10.286,14.142,13.792,-0.133,0.334
1406,"Stokes et al., 2010",Gorilla gorilla,Mammals,Herb,Tropical forest,1.25,0.85,131.63,13,14,2.077,10.286,3.201,13.792,-1.599,0.311
1407,"Stokes et al., 2010",Gorilla gorilla,Mammals,Herb,Tropical forest,2,0.85,131.63,11,14,5.273,10.286,6.018,13.792,-0.668,0.247
1408,"Stokes et al., 2010",Gorilla gorilla,Mammals,Herb,Tropical forest,3.25,0.85,131.63,14,14,3.357,10.286,5.032,13.792,-1.119,0.289
1409,"Stokes et al., 2010",Gorilla gorilla,Mammals,Herb,Tropical forest,5,0.85,131.63,10,14,6.1,10.286,8.399,13.792,-0.522,0.318
1410,"Stokes et al., 2010",Gorilla gorilla,Mammals,Herb,Tropical forest,7,0.85,131.63,14,14,0.429,10.286,1.343,13.792,-3.172,0.829
1411,"Stokes et al., 2010",Gorilla gorilla,Mammals,Herb,Tropical forest,9,0.85,131.63,12,14,6.417,10.286,10.229,13.792,-0.471,0.34
1412,"Stokes et al., 2010",Gorilla gorilla,Mammals,Herb,Tropical forest,11,0.85,131.63,12,14,8.833,10.286,14.025,13.792,-0.152,0.339
1413,"Stokes et al., 2010",Gorilla gorilla,Mammals,Herb,Tropical forest,13,0.85,131.63,11,14,4.273,10.286,7.001,13.792,-0.878,0.373
1414,"Stokes et al., 2010",Gorilla gorilla,Mammals,Herb,Tropical forest,16,0.85,131.63,11,14,6.727,10.286,11.774,13.792,-0.424,0.407
1415,"Stokes et al., 2010",Gorilla gorilla,Mammals,Herb,Tropical forest,20,0.85,131.63,13,14,5.385,10.286,8.181,13.792,-0.647,0.306
1416,"Stokes et al., 2010",Loxodonta africana,Mammals,Herb,Tropical forest,0.25,0.85,3940.03,18,14,12.889,4.286,10.83,5.441,1.101,0.154
1417,"Stokes et al., 2010",Loxodonta africana,Mammals,Herb,Tropical forest,0.75,0.85,3940.03,12,14,11.417,4.286,11.204,5.441,0.98,0.195
1418,"Stokes et al., 2010",Loxodonta africana,Mammals,Herb,Tropical forest,1.25,0.85,3940.03,13,14,6.077,4.286,9.233,5.441,0.349,0.293
1419,"Stokes et al., 2010",Loxodonta africana,Mammals,Herb,Tropical forest,2,0.85,3940.03,11,14,0.818,4.286,1.834,5.441,-1.655,0.572
1420,"Stokes et al., 2010",Loxodonta africana,Mammals,Herb,Tropical forest,3.25,0.85,3940.03,14,14,3.357,4.286,7.218,5.441,-0.244,0.445
1421,"Stokes et al., 2010",Loxodonta africana,Mammals,Herb,Tropical forest,5,0.85,3940.03,10,14,3.4,4.286,5.948,5.441,-0.231,0.421
1422,"Stokes et al., 2010",Loxodonta africana,Mammals,Herb,Tropical forest,7,0.85,3940.03,14,14,4.429,4.286,14.643,5.441,0.033,0.896
1423,"Stokes et al., 2010",Loxodonta africana,Mammals,Herb,Tropical forest,9,0.85,3940.03,12,14,3.417,4.286,5.616,5.441,-0.226,0.34
1424,"Stokes et al., 2010",Loxodonta africana,Mammals,Herb,Tropical forest,11,0.85,3940.03,12,14,4.833,4.286,6.952,5.441,0.12,0.288
1425,"Stokes et al., 2010",Loxodonta africana,Mammals,Herb,Tropical forest,13,0.85,3940.03,11,14,2.546,4.286,3.671,5.441,-0.521,0.304
1426,"Stokes et al., 2010",Loxodonta africana,Mammals,Herb,Tropical forest,16,0.85,3940.03,11,14,2.182,4.286,4.045,5.441,-0.675,0.428
1427,"Stokes et al., 2010",Loxodonta africana,Mammals,Herb,Tropical forest,20,0.85,3940.03,13,14,2.385,4.286,3.525,5.441,-0.586,0.283
1428,"Stokes et al., 2010",Pan troglodytes,Mammals,Frug,Tropical forest,0.25,0.85,42.5,18,14,2.889,7.071,4.185,8.607,-0.895,0.222
1429,"Stokes et al., 2010",Pan troglodytes,Mammals,Frug,Tropical forest,0.75,0.85,42.5,12,14,2.417,7.071,2.392,8.607,-1.073,0.187
1430,"Stokes et al., 2010",Pan troglodytes,Mammals,Frug,Tropical forest,1.25,0.85,42.5,13,14,2.077,7.071,2.597,8.607,-1.224,0.226
1431,"Stokes et al., 2010",Pan troglodytes,Mammals,Frug,Tropical forest,2,0.85,42.5,11,14,3.546,7.071,8.202,8.607,-0.69,0.592
1432,"Stokes et al., 2010",Pan troglodytes,Mammals,Frug,Tropical forest,3.25,0.85,42.5,14,14,1.857,7.071,3.505,8.607,-1.336,0.36
1433,"Stokes et al., 2010",Pan troglodytes,Mammals,Frug,Tropical forest,5,0.85,42.5,10,14,0.8,7.071,0.919,8.607,-2.177,0.238
1434,"Stokes et al., 2010",Pan troglodytes,Mammals,Frug,Tropical forest,7,0.85,42.5,14,14,1.286,7.071,2.998,8.607,-1.703,0.494
1435,"Stokes et al., 2010",Pan troglodytes,Mammals,Frug,Tropical forest,9,0.85,42.5,12,14,3.583,7.071,7.192,8.607,-0.679,0.441
1436,"Stokes et al., 2010",Pan troglodytes,Mammals,Frug,Tropical forest,11,0.85,42.5,12,14,6.667,7.071,8.659,8.607,-0.059,0.246
1437,"Stokes et al., 2010",Pan troglodytes,Mammals,Frug,Tropical forest,13,0.85,42.5,11,14,5.273,7.071,11.85,8.607,-0.293,0.565
1438,"Stokes et al., 2010",Pan troglodytes,Mammals,Frug,Tropical forest,16,0.85,42.5,11,14,2.091,7.071,5.319,8.607,-1.218,0.694
1439,"Stokes et al., 2010",Pan troglodytes,Mammals,Frug,Tropical forest,20,0.85,42.5,13,14,3.539,7.071,5.636,8.607,-0.692,0.301
1440,"Suarez et al., 2013",Penelope jacquacu,Birds,Frug,Tropical forest,1,2.2,1.49,48,48,2.361,10.108,16.023,41.997,-1.449,1.319
1441,"Suarez et al., 2013",Pipile pipile,Birds,Frug,Tropical forest,1,2.2,1.82,48,48,3.654,6.706,21.38,29.929,-0.605,1.128
1442,"Suarez et al., 2013",Psophia crepitans,Birds,Frug,Tropical forest,1,2.2,1.03,48,48,1.802,2.205,16.909,15.313,-0.2,2.839
1443,"Suarez et al., 2013",Cebus albifrons,Mammals,Omn,Tropical forest,1,2.2,2.63,48,48,7.982,9.766,47.154,47.644,-0.201,1.223
1444,"Suarez et al., 2013",Dasyprocta fuliginosa,Mammals,Omn,Tropical forest,1,2.2,3.5,48,48,1.917,2.345,12.934,12.314,-0.201,1.523
1445,"Suarez et al., 2013",Myoprocta pratti,Mammals,Omn,Tropical forest,1,2.2,0.97,48,48,1.917,1.173,12.934,7.913,0.491,1.896
1446,"Suarez et al., 2013",Pecari tajacu,Mammals,Herb,Tropical forest,1,2.2,21.27,48,48,0.8,2.448,7.506,14.523,-1.118,2.567
1447,"Suarez et al., 2013",Pithecia monachus,Mammals,Omn,Tropical forest,1,2.2,1.54,48,48,3.942,1.809,20.779,10.458,0.779,1.275
1448,"Suarez et al., 2013",Saguinus tripartitus,Mammals,Omn,Tropical forest,1,2.2,0.39,48,48,11.39,12.193,60.45,56.483,-0.068,1.034
1449,"Suarez et al., 2013",Saimiri sciureus,Mammals,Omn,Tropical forest,1,2.2,0.74,48,48,11.697,28.621,79.609,129.489,-0.894,1.391
1450,"Suarez et al., 2013",Sciurus spp,Mammals,Frug,Tropical forest,1,2.2,0.6,48,48,8.147,11.214,36.408,45.016,-0.319,0.752
1451,"Suarez et al., 2013",Penelope jacquacu,Birds,Frug,Tropical forest,1,4.88,1.49,48,48,3.295,10.108,19.125,41.997,-1.117,1.061
1452,"Suarez et al., 2013",Pipile pipile,Birds,Frug,Tropical forest,1,4.88,1.82,48,48,1.133,6.706,10.636,29.929,-1.77,2.251
1453,"Suarez et al., 2013",Psophia crepitans,Birds,Frug,Tropical forest,1,4.88,1.03,48,48,5.031,2.205,30.033,15.313,0.825,1.747
1454,"Suarez et al., 2013",Ramphastos spp,Birds,Frug,Tropical forest,1,4.88,0.4,48,48,3.13,1.029,16.81,7.056,1.113,1.58
1455,"Suarez et al., 2013",Ateles belzebuth,Mammals,Frug,Tropical forest,1,4.88,5,48,48,6.534,21.476,44.987,110.466,-1.189,1.539
1456,"Suarez et al., 2013",Callicebus moloch,Mammals,Omn,Tropical forest,1,4.88,0.85,48,48,3.095,7.46,18.054,32.183,-0.879,1.097
1457,"Suarez et al., 2013",Cebus albifrons,Mammals,Omn,Tropical forest,1,4.88,2.63,48,48,4.952,9.766,34.095,47.644,-0.679,1.483
1458,"Suarez et al., 2013",Lagothrix lagotricha,Mammals,Frug,Tropical forest,1,4.88,6.3,48,48,17.496,17.253,77.757,71.99,0.014,0.774
1459,"Suarez et al., 2013",Mazama americana,Mammals,Herb,Tropical forest,1,4.88,22.8,48,48,0.462,0.608,4.337,4.472,-0.274,2.963
1460,"Suarez et al., 2013",Microsciurus flaviventer,Mammals,Frug,Tropical forest,1,4.88,0.09,48,48,0.892,0.586,8.367,5.502,0.42,3.669
1461,"Suarez et al., 2013",Myoprocta pratti,Mammals,Omn,Tropical forest,1,4.88,0.97,48,48,0.892,1.173,8.367,7.913,-0.274,2.781
1462,"Suarez et al., 2013",Pecari tajacu,Mammals,Herb,Tropical forest,1,4.88,21.27,48,48,0.745,2.448,6.987,14.523,-1.189,2.565
1463,"Suarez et al., 2013",Pithecia monachus,Mammals,Omn,Tropical forest,1,4.88,1.54,48,48,1.834,1.809,12.409,10.458,0.014,1.65
1464,"Suarez et al., 2013",Saguinus tripartitus,Mammals,Omn,Tropical forest,1,4.88,0.39,48,48,21.197,12.193,95.754,56.483,0.553,0.872
1465,"Suarez et al., 2013",Saimiri sciureus,Mammals,Omn,Tropical forest,1,4.88,0.74,48,48,32.652,28.621,156.424,129.489,0.132,0.905
1466,"Suarez et al., 2013",Sciurus spp,Mammals,Frug,Tropical forest,1,4.88,0.6,48,48,5.686,11.214,26.928,45.016,-0.679,0.803
1467,"Thiollay, 1984",Accipiter bicolor,Birds,Carn,Tropical forest,2.5,0.04,0.29,33,12,0.22,0.08,0.469,0.283,1.012,1.179
1468,"Thiollay, 1984",Buteogallus urubitinga,Birds,Carn,Tropical forest,2.5,0.04,1.15,128,28,0.33,2,0.575,1.414,-1.794,0.042
1469,"Thiollay, 1984",Cathartes melambrotus,Birds,Carn,Tropical forest,2.5,0.04,1.37,128,28,1.66,3,1.288,1.732,-0.589,0.017
1470,"Thiollay, 1984",Elanoides forficatus,Birds,Inver,Tropical forest,2.5,0.04,0.42,128,28,1.6,4,1.265,2,-0.913,0.014
1471,"Thiollay, 1984",Harpagus bidentatus,Birds,Inver,Tropical forest,2.5,0.04,0.22,128,28,1.66,2,1.288,1.414,-0.185,0.023
1472,"Thiollay, 1984",Harpagus diodon,Birds,Inver,Tropical forest,2.5,0.04,0.2,128,28,0.22,0.33,0.469,0.575,-0.404,0.144
1473,"Thiollay, 1984",Ibycter americanus,Birds,Inver,Tropical forest,2.5,0.04,0.62,33,12,0.44,1.66,0.663,1.288,-1.323,0.119
1474,"Thiollay, 1984",Micrastur gilvicollis,Birds,Carn,Tropical forest,2.5,0.04,0.21,33,12,0.22,0.07,0.469,0.265,1.146,1.328
1475,"Thiollay, 1984",Micrastur semitorquatus,Birds,Carn,Tropical forest,2.5,0.04,0.62,33,12,0.02,0.03,0.141,0.173,-0.404,4.292
1476,"Thiollay, 1984",Morphnus guianensis,Birds,Carn,Tropical forest,2.5,0.04,1.75,128,28,0.11,0.5,0.332,0.707,-1.508,0.142
1477,"Thiollay, 1984",Pseudastur albicollis,Birds,Carn,Tropical forest,2.5,0.04,0.71,128,28,0.99,1.33,0.995,1.153,-0.293,0.035
1478,"Thiollay, 1984",Sarcoramphus papa,Birds,Carn,Tropical forest,2.5,0.04,3.4,128,28,0.88,2.66,0.938,1.631,-1.102,0.022
1479,"Thiollay, 1984",Spizaetus melanoleucus,Birds,Carn,Tropical forest,2.5,0.04,0.85,128,28,0.88,1.33,0.938,1.153,-0.411,0.036
1480,"Thiollay, 1984",Spizaetus ornatus,Birds,Carn,Tropical forest,2.5,0.04,1.2,128,28,0.33,1.33,0.575,1.153,-1.389,0.051
1481,"Thiollay, 2005","Amazona amazonica, A. farinosa, A. dufresniana and A. ochrocephala",Birds,Frug,Tropical forest,22.17,0.08,0.49,6,7,0.53,1.62,0.23,0.8,-1.113,0.066
1482,"Thiollay, 2005","Amazona amazonica, A. farinosa, A. dufresniana and A. ochrocephala",Birds,Frug,Tropical forest,41.13,0.08,0.49,8,7,0.79,1.62,0.39,0.8,-0.715,0.065
1483,"Thiollay, 2005",Ara chloroptera and A. macao,Birds,Frug,Tropical forest,22.17,0.08,1.11,6,7,0.34,2.02,0.56,1.27,-1.774,0.509
1484,"Thiollay, 2005",Ara chloroptera and A. macao,Birds,Frug,Tropical forest,41.13,0.08,1.11,8,7,1.08,2.02,0.77,1.27,-0.624,0.12
1485,"Thiollay, 2005",Crax alector,Birds,Frug,Tropical forest,22.17,0.08,2.87,6,7,0.19,1.27,0.15,0.48,-1.891,0.124
1486,"Thiollay, 2005",Crax alector,Birds,Frug,Tropical forest,41.13,0.08,2.87,8,7,0.62,1.27,0.49,0.48,-0.714,0.098
1487,"Thiollay, 2005",Crypturellus variegatus,Birds,Frug,Tropical forest,22.17,0.08,0.38,6,7,0.91,1.54,0.25,0.61,-0.524,0.035
1488,"Thiollay, 2005",Crypturellus variegatus,Birds,Frug,Tropical forest,41.13,0.08,0.38,8,7,1.27,1.54,0.34,0.61,-0.191,0.031
1489,"Thiollay, 2005",Odontophorus gujanensis,Birds,Omn,Tropical forest,22.17,0.08,0.31,6,7,0.24,0.89,0.28,0.57,-1.306,0.285
1490,"Thiollay, 2005",Odontophorus gujanensis,Birds,Omn,Tropical forest,41.13,0.08,0.31,8,7,0.38,0.89,0.15,0.57,-0.848,0.078
1491,"Thiollay, 2005",Penelope marail and Pipile cumanensis,Birds,Frug,Tropical forest,22.17,0.08,1.29,6,7,0.24,1.01,0.11,0.36,-1.432,0.053
1492,"Thiollay, 2005",Penelope marail and Pipile cumanensis,Birds,Frug,Tropical forest,41.13,0.08,1.29,8,7,0.92,1.01,0.43,0.36,-0.092,0.045
1493,"Thiollay, 2005",Psophia crepitans,Birds,Frug,Tropical forest,22.17,0.08,1.03,6,7,0.18,1.95,0.11,0.65,-2.369,0.078
1494,"Thiollay, 2005",Psophia crepitans,Birds,Frug,Tropical forest,41.13,0.08,1.03,8,7,0.63,1.95,0.37,0.65,-1.126,0.059
1495,"Thiollay, 2005",Ramphastos tucanus and R. vitellinus,Birds,Frug,Tropical forest,22.17,0.08,0.47,6,7,1.46,3.5,0.7,2.06,-0.871,0.088
1496,"Thiollay, 2005",Ramphastos tucanus and R. vitellinus,Birds,Frug,Tropical forest,41.13,0.08,0.47,8,7,2.05,3.5,1.54,2.06,-0.533,0.12
1497,"Thiollay, 2005",Tinamus major,Birds,Frug,Tropical forest,22.17,0.08,1.03,6,7,0.21,0.56,0.07,0.14,-0.977,0.027
1498,"Thiollay, 2005",Tinamus major,Birds,Frug,Tropical forest,41.13,0.08,1.03,8,7,0.46,0.56,0.11,0.14,-0.195,0.016
1499,"Thoisy et al., 2005",Ateles paniscus,Mammals,Frug,Tropical forest,2.5,0,7.9,21,22,0.6,0.39,0.775,0.625,0.431,0.196
1500,"Thoisy et al., 2005",Cebus olivaceus,Mammals,Omn,Tropical forest,2.5,0,2.6,21,22,0.35,0.187,0.592,0.432,0.629,0.379
1501,"Thoisy et al., 2005",Pithecia pithecia,Mammals,Omn,Tropical forest,2.5,0,1.38,21,22,0.06,0.05,0.245,0.224,0.183,1.702
1502,"Thoisy et al., 2005",Saguinus midas,Mammals,Omn,Tropical forest,2.5,0,0.54,21,22,0.38,0.32,0.616,0.566,0.172,0.267
1503,"Thoisy et al., 2005",Sapajus apella,Mammals,Omn,Tropical forest,2.5,0,2.5,21,22,0.58,0.713,0.762,0.845,-0.207,0.146
1504,"Thoisy et al., 2005",Alouatta seniculus,Mammals,Herb,Tropical forest,2.5,0.05,6.15,23,22,0.03,0.207,0.173,0.455,-1.928,1.669
1505,"Thoisy et al., 2005",Ateles paniscus,Mammals,Frug,Tropical forest,2.5,0.05,7.9,23,22,0.35,0.39,0.592,0.625,-0.108,0.241
1506,"Thoisy et al., 2005",Cebus olivaceus,Mammals,Omn,Tropical forest,2.5,0.05,2.6,23,22,0.05,0.187,0.224,0.432,-1.317,1.113
1507,"Thoisy et al., 2005",Pithecia pithecia,Mammals,Omn,Tropical forest,2.5,0.05,1.38,23,22,0.11,0.05,0.332,0.224,0.789,1.304
1508,"Thoisy et al., 2005",Saguinus midas,Mammals,Omn,Tropical forest,2.5,0.05,0.54,23,22,0.5,0.32,0.707,0.566,0.446,0.229
1509,"Thoisy et al., 2005",Sapajus apella,Mammals,Omn,Tropical forest,2.5,0.05,2.5,23,22,0.22,0.713,0.469,0.845,-1.175,0.261
1510,"Thoisy et al., 2005",Alouatta seniculus,Mammals,Herb,Tropical forest,2.5,0.08,6.15,38,22,0.19,0.207,0.436,0.455,-0.084,0.358
1511,"Thoisy et al., 2005",Ateles paniscus,Mammals,Frug,Tropical forest,2.5,0.08,7.9,38,22,0.41,0.39,0.64,0.625,0.05,0.181
1512,"Thoisy et al., 2005",Pithecia pithecia,Mammals,Omn,Tropical forest,2.5,0.08,1.38,38,22,0.01,0.05,0.1,0.224,-1.608,3.541
1513,"Thoisy et al., 2005",Saguinus midas,Mammals,Omn,Tropical forest,2.5,0.08,0.54,38,22,0.38,0.32,0.616,0.566,0.172,0.211
1514,"Thoisy et al., 2005",Sapajus apella,Mammals,Omn,Tropical forest,2.5,0.08,2.5,38,22,0.7,0.713,0.837,0.845,-0.019,0.101
1515,"Thoisy et al., 2005",Ateles paniscus,Mammals,Frug,Tropical forest,2.5,0.08,7.9,20,22,0.67,0.39,0.819,0.625,0.541,0.191
1516,"Thoisy et al., 2005",Cebus olivaceus,Mammals,Omn,Tropical forest,2.5,0.08,2.6,20,22,0.06,0.187,0.245,0.432,-1.134,1.076
1517,"Thoisy et al., 2005",Pithecia pithecia,Mammals,Omn,Tropical forest,2.5,0.08,1.38,20,22,0.04,0.05,0.2,0.224,-0.223,2.159
1518,"Thoisy et al., 2005",Saguinus midas,Mammals,Omn,Tropical forest,2.5,0.08,0.54,20,22,0.32,0.32,0.566,0.566,0,0.298
1519,"Thoisy et al., 2005",Sapajus apella,Mammals,Omn,Tropical forest,2.5,0.08,2.5,20,22,0.7,0.713,0.837,0.845,-0.019,0.135
1520,"Thoisy et al., 2005",Alouatta seniculus,Mammals,Herb,Tropical forest,2.5,0.08,6.15,20,22,0.01,0.207,0.1,0.455,-3.023,5.22
1521,"Thoisy et al., 2005",Ateles paniscus,Mammals,Frug,Tropical forest,2.5,0.08,7.9,20,22,0.3,0.39,0.548,0.625,-0.262,0.283
1522,"Thoisy et al., 2005",Pithecia pithecia,Mammals,Omn,Tropical forest,2.5,0.08,1.38,20,22,0.01,0.05,0.1,0.224,-1.608,5.909
1523,"Thoisy et al., 2005",Saguinus midas,Mammals,Omn,Tropical forest,2.5,0.08,0.54,20,22,0.16,0.32,0.4,0.566,-0.693,0.455
1524,"Thoisy et al., 2005",Sapajus apella,Mammals,Omn,Tropical forest,2.5,0.08,2.5,20,22,0.39,0.713,0.625,0.845,-0.603,0.192
1525,"Thoisy et al., 2005",Ateles paniscus,Mammals,Frug,Tropical forest,2.5,0.05,7.9,22,22,0.14,0.39,0.374,0.625,-1.024,0.441
1526,"Thoisy et al., 2005",Cebus olivaceus,Mammals,Omn,Tropical forest,2.5,0.05,2.6,22,22,0.27,0.187,0.52,0.432,0.369,0.412
1527,"Thoisy et al., 2005",Pithecia pithecia,Mammals,Omn,Tropical forest,2.5,0.05,1.38,22,22,0.2,0.05,0.447,0.224,1.386,1.136
1528,"Thoisy et al., 2005",Saguinus midas,Mammals,Omn,Tropical forest,2.5,0.05,0.54,22,22,0.25,0.32,0.5,0.566,-0.247,0.324
1529,"Thoisy et al., 2005",Sapajus apella,Mammals,Omn,Tropical forest,2.5,0.05,2.5,22,22,0.33,0.713,0.575,0.845,-0.77,0.201
1530,"Thoisy et al., 2005",Ateles paniscus,Mammals,Frug,Tropical forest,2.5,0,7.9,21,22,0.08,0.39,0.283,0.625,-1.583,0.712
1531,"Thoisy et al., 2005",Cebus olivaceus,Mammals,Omn,Tropical forest,2.5,0,2.6,21,22,0.1,0.187,0.316,0.432,-0.624,0.719
1532,"Thoisy et al., 2005",Pithecia pithecia,Mammals,Omn,Tropical forest,2.5,0,1.38,21,22,0.12,0.05,0.346,0.224,0.876,1.306
1533,"Thoisy et al., 2005",Saguinus midas,Mammals,Omn,Tropical forest,2.5,0,0.54,21,22,0.28,0.32,0.529,0.566,-0.133,0.312
1534,"Thoisy et al., 2005",Sapajus apella,Mammals,Omn,Tropical forest,2.5,0,2.5,21,22,0.15,0.713,0.387,0.845,-1.558,0.381
1535,"Thoisy et al., 2005",Ateles paniscus,Mammals,Frug,Tropical forest,2.5,0,7.9,21,22,0.23,0.39,0.48,0.625,-0.528,0.324
1536,"Thoisy et al., 2005",Cebus olivaceus,Mammals,Omn,Tropical forest,2.5,0,2.6,21,22,0.39,0.187,0.625,0.432,0.737,0.365
1537,"Thoisy et al., 2005",Pithecia pithecia,Mammals,Omn,Tropical forest,2.5,0,1.38,21,22,0.05,0.05,0.224,0.224,0,1.861
1538,"Thoisy et al., 2005",Saguinus midas,Mammals,Omn,Tropical forest,2.5,0,0.54,21,22,0.32,0.32,0.566,0.566,0,0.291
1539,"Thoisy et al., 2005",Pithecia pithecia,Mammals,Omn,Tropical forest,2.5,17.44,1.38,20,22,0.13,0.05,0.361,0.224,0.956,1.294
1540,"Thoisy et al., 2005",Saguinus midas,Mammals,Omn,Tropical forest,2.5,17.44,0.54,20,22,1,0.32,1,0.566,1.14,0.192
1541,"Thoisy et al., 2005",Sapajus apella,Mammals,Omn,Tropical forest,2.5,17.44,2.5,20,22,0.22,0.713,0.469,0.845,-1.175,0.291
1542,"Thoisy et al., 2005",Ateles paniscus,Mammals,Frug,Tropical forest,2.5,0.1,7.9,22,22,0.07,0.39,0.265,0.625,-1.716,0.766
1543,"Thoisy et al., 2005",Pithecia pithecia,Mammals,Omn,Tropical forest,2.5,0.1,1.38,22,22,0.04,0.05,0.2,0.224,-0.223,2.045
1544,"Thoisy et al., 2005",Saguinus midas,Mammals,Omn,Tropical forest,2.5,0.1,0.54,22,22,2,0.32,1.414,0.566,1.833,0.165
1545,"Thoisy et al., 2005",Sapajus apella,Mammals,Omn,Tropical forest,2.5,0.1,2.5,22,22,0.2,0.713,0.447,0.845,-1.271,0.291
1546,"Thoisy et al., 2005",Ateles paniscus,Mammals,Frug,Tropical forest,2.5,16.76,7.9,23,22,0.07,0.39,0.265,0.625,-1.716,0.738
1547,"Thoisy et al., 2005",Pithecia pithecia,Mammals,Omn,Tropical forest,2.5,16.76,1.38,23,22,0.04,0.05,0.2,0.224,-0.223,1.996
1548,"Thoisy et al., 2005",Saguinus midas,Mammals,Omn,Tropical forest,2.5,16.76,0.54,23,22,0.28,0.32,0.529,0.566,-0.133,0.297
1549,"Thoisy et al., 2005",Sapajus apella,Mammals,Omn,Tropical forest,2.5,16.76,2.5,23,22,0.51,0.713,0.714,0.845,-0.335,0.149
1550,"Thoisy et al., 2005",Ateles paniscus,Mammals,Frug,Tropical forest,2.5,17.44,7.9,22,22,0.09,0.39,0.3,0.625,-1.465,0.622
1551,"Thoisy et al., 2005",Saguinus midas,Mammals,Omn,Tropical forest,2.5,17.44,0.54,22,22,0.27,0.32,0.52,0.566,-0.17,0.31
1552,"Thoisy et al., 2005",Sapajus apella,Mammals,Omn,Tropical forest,2.5,17.44,2.5,22,22,0.06,0.713,0.245,0.845,-2.472,0.821
1553,"Thoisy et al., 2005",Ateles paniscus,Mammals,Frug,Tropical forest,2.5,1.4,7.9,25,22,0.03,0.39,0.173,0.625,-2.562,1.45
1554,"Thoisy et al., 2005",Pithecia pithecia,Mammals,Omn,Tropical forest,2.5,1.4,1.38,25,22,0.21,0.05,0.458,0.224,1.435,1.1
1555,"Thoisy et al., 2005",Saguinus midas,Mammals,Omn,Tropical forest,2.5,1.4,0.54,25,22,2.8,0.32,1.673,0.566,2.169,0.156
1556,"Topp-J?rgensen et al., 2009",Cephalophus harveyi,Mammals,Herb,Montane forest,3.76,15.77,14.5,1,1,5.4,22.8,2.324,4.775,-1.439,0.229
1557,"Topp-J?rgensen et al., 2009",Cercopithecus mitis,Mammals,Frug,Montane forest,3.76,15.77,5,10,22,0.18,0.64,0.129,0.359,-1.268,0.066
1558,"Topp-J?rgensen et al., 2009",Colobus angolensis,Mammals,Herb,Montane forest,3.76,15.77,9.85,10,22,0.15,0.57,0.161,0.359,-1.334,0.134
1559,"Topp-J?rgensen et al., 2009",Cricetomys gambianus,Mammals,Omn,Montane forest,3.76,15.77,1.27,1,1,1.29,2.11,1.136,1.453,-0.492,1.249
