Reference,Study,Group,Common_nam,SpID,Species,Order,BM,Guild,Type_hunting,Region,Country,Longitude,Latitude,Protected_Area,Access_point,N_hunted,N_control,Abund_hunted,Abund_control,SD_hunted,SD_control,unit,Distance_Km,RR,SamplingVar,Biome,HumanPopDens,TravelTime
Koerner et al. 2016,132,Birds,Piping hornbill,267,Bycanistes fistulator,Bucerotiformes,0.92,Frug,S,Africa,Gabon,12.887,0.633,No,Settlement,70,100,0.75,0.45,0.837,0.9,n/km,#REF!,0.512,0.058,Tropical forest,0.87,754.4
"Thoisy et al., 2005",119,Mammals,Tufted capuchin,173,Sapajus apella,Primates,2.5,Omn,SC,S America,French Guiana,-52.169,4.533,No,Settlement,38,22,0.7,0.713,0.837,0.845,n/km,2.5,-0.019,0.101,Tropical forest,0.08,1628
"Thoisy et al., 2005",120,Mammals,Tufted capuchin,173,Sapajus apella,Primates,2.5,Omn,SC,S America,French Guiana,-52.038,4.216,No,Settlement,20,22,0.7,0.713,0.837,0.845,n/km,2.5,-0.019,0.135,Tropical forest,0.08,1732
Urquiza-Haas et al. 2011,135,Mammals,White-nosed Coati,110,Nasua narica,Carnivores,4.03,Frug,S,C America,Mexico,-88.146,19.449,No,Settlement,30,29,0.7,2.73,0.837,1.652,groups/10 km,3.5,-1.36,0.06,Tropical forest,3.36,380
"Wright et al., 2000",100,Mammals,Black-eared Opossum,243,Didelphis marsupialis,Didelphimorphia,1.09,Carn,SC,C America,Panama,-79.65,9.09,Yes,Settlement,17,17,0.703,0.478,0.839,0.691,n/100 trap nights,5,0.386,0.207,Tropical forest,680.09,26
"Peres and Lake, 2003",9,Mammals,Howler monkeys,6,Alouatta spp,Primates,6.5,Herb,S,S America,Brazil,-67.605,-6.05,Yes,River,45,45,0.708,0.217,0.841,0.466,n groups/10 km,2.75,1.183,0.134,Tropical forest,0.24,2389
"Cronin, 2013",65,Mammals,Crowned monkey,49,Cercopithecus pogonias,Primates,3.76,Frug,SC,Africa,Equatorial Guinea,8.486,3.258,Yes,Settlement,18,12,0.71,0.24,0.843,0.49,primate groups/km,4,1.085,0.425,Tropical forest,7.84,314
"Peres and Lake, 2003",9,Mammals,White-fronted Capuchin,30,Cebus albifrons,Primates,2.63,Omn,S,S America,Brazil,-67.605,-6.05,Yes,River,45,45,0.711,0.738,0.843,0.859,n groups/10 km,3.75,-0.037,0.061,Tropical forest,0.24,2389
"Wright et al., 2000",100,Mammals,Red brocket deer and white-tailed deer,279,Mazama americana and Odocoileus virginianus,Cetartiodactyla,39.15,Herb,SC,C America,Panama,-79.784,9.186,Yes,Settlement,18,17,0.711,2.41,0.843,1.553,n/km,5.3,-1.22,0.103,Tropical forest,2.07,35
"Blake et al., 2007",30,Mammals,African Elephant,97,Loxodonta africana,Proboscidea,3940.03,Herb,C,Africa,Gabon,12.827,1.877,Yes,Road,7,5,1.642,3.211,0.846,0.925,n/km2,32.5,-0.67,0.054,Tropical forest,0.79,3399
